thr,bets,winrate,pnl_total,pnl_mean,dd_max,sharpe_h
0.5,28631,0.571,297.861,0.01,2.101,0.149
0.51,27653,0.574,297.522,0.011,2.101,0.149
0.52,26734,0.577,296.41,0.011,2.081,0.149
0.53,25820,0.579,294.283,0.011,2.081,0.148
0.54,24851,0.581,291.234,0.012,2.118,0.147
0.55,23317,0.582,285.273,0.012,2.118,0.145
0.56,21447,0.584,278.54,0.013,2.26,0.143
0.57,19589,0.582,266.449,0.014,2.277,0.138
0.58,17764,0.581,252.489,0.014,2.249,0.132
0.59,15983,0.582,239.532,0.015,2.311,0.128
0.6,14288,0.577,218.803,0.015,2.386,0.119
