hour_utc,bets,wins,pnl,hit_rate
0,658,354,9.290000000000003,0.5379939209726444
1,696,400,58.0,0.5747126436781609
2,675,370,22.450000000000003,0.5481481481481482
3,656,353,9.405000000000003,0.538109756097561
4,706,385,19.725000000000005,0.5453257790368272
5,674,369,21.565000000000005,0.5474777448071216
6,674,366,15.910000000000004,0.543026706231454
7,681,382,39.07,0.5609397944199707
8,642,352,21.520000000000003,0.5482866043613707
9,673,359,3.7150000000000034,0.5334323922734027
10,668,362,14.370000000000003,0.5419161676646707
11,649,347,5.095000000000003,0.5346687211093991
12,654,344,-5.559999999999997,0.5259938837920489
13,674,347,-19.904999999999998,0.5148367952522255
14,651,354,16.290000000000003,0.543778801843318
15,674,372,27.220000000000002,0.5519287833827893
16,691,374,13.990000000000004,0.5412445730824892
17,698,368,-4.319999999999997,0.5272206303724928
18,669,349,-11.134999999999996,0.5216741405082213
19,715,390,20.150000000000002,0.5454545454545454
20,704,409,66.965,0.5809659090909091
21,677,362,5.370000000000003,0.534711964549483
22,712,376,-3.2399999999999967,0.5280898876404494
23,692,389,41.265,0.5621387283236994
