th_up,th_dn,bets,wins,hit_rate,coverage,pnl_net,bank_final,ret_pct,dd_max,cv_bets,cv_net,score
0.527,0.527,16263,8833,0.5431347229908381,0.5095084432469689,1936.0250000002425,2186.0250000002425,7.74410000000097,-266.4250000000073,0.3243835601450751,2.185758503512471,7.181441196115599
0.528,0.528,15762,8560,0.5430782895571628,0.4938124627964535,1868.0000000001992,2118.000000000199,7.472000000000797,-297.80000000000587,0.3373430493248852,2.2493861791412444,6.892786302749242
0.53,0.53,14860,8078,0.543606998654105,0.46555343212506656,1835.1500000000701,2085.15000000007,7.340600000000281,-255.85000000000514,0.36273731027990386,2.266464446143129,6.755847022950504
0.529,0.529,15324,8321,0.5430044374836858,0.4800902283906137,1805.4250000000306,2055.4250000000306,7.221700000000123,-276.2250000000064,0.34815476482559066,2.281046224900406,6.634030705533742
0.525,0.525,17237,9336,0.5416255728955155,0.5400231836836994,1806.800000000042,2056.800000000042,7.227200000000168,-338.1999999999992,0.30105126497621576,2.422435420042029,6.60653858174085
0.526,0.526,16740,9072,0.5419354838709678,0.5244525204423698,1803.5999999999335,2053.5999999999335,7.214399999999734,-296.6000000000056,0.31194301561754884,2.4522604164528303,6.585737745105649
0.531,0.531,14432,7846,0.5436529933481153,0.45214449074219115,1788.5500000000193,2038.5500000000193,7.154200000000077,-284.5250000000055,0.3745693631770178,2.369135014969051,6.543187778098964
0.524,0.524,17741,9591,0.540612141367454,0.555813152041104,1690.1749999998378,1940.1749999998378,6.760699999999352,-318.14999999999446,0.2885188764136948,2.643466832601131,6.085407348028384
0.521,0.521,19242,10378,0.5393410248414926,0.6028384347880573,1602.649999999716,1852.649999999716,6.4105999999988645,-323.72499999999434,0.2552511130210367,2.7419702935499637,5.7123448709603215
0.522,0.522,18721,10097,0.5393408471769671,0.5865158682916132,1559.2249999997214,1809.2249999997214,6.236899999998886,-298.2499999999965,0.26654314450118716,2.8708493496164476,5.505860505369714
0.523,0.523,18217,9826,0.5393862875336224,0.5707258999342084,1525.0499999997285,1775.0499999997285,6.100199999998914,-312.69999999999663,0.27615857465637306,3.0149860852300434,5.332645549958585
0.52,0.52,19755,10639,0.5385472032396862,0.6189103668661299,1497.5749999997113,1747.5749999997113,5.990299999998845,-314.67499999999467,0.2445049106322955,2.9919919721643873,5.230076761426133
0.518,0.518,20881,11202,0.536468559934869,0.6541871612519189,1173.8499999996905,1423.8499999996905,4.695399999998762,-385.7000000000835,0.21899061586395793,3.894781109696957,3.710755191781325
0.516,0.516,22114,11852,0.5359500768743782,0.6928161909834268,1135.0999999996923,1385.0999999996923,4.540399999998769,-432.07499999999527,0.19136144554665746,4.121569078974558,3.5004396579777963
0.517,0.517,21533,11535,0.535689406956764,0.6746138663491964,1052.3749999996903,1302.3749999996903,4.209499999998761,-393.6500000000865,0.20400624048190757,4.47660928271296,3.0801473672964255
0.513,0.513,23819,12722,0.5341114236533859,0.7462326513988533,-250.0,0.0,-1.0,-372.0500000000053,0.15765334972117587,5.592254785772075,-2.4059463639290772
0.512,0.512,24422,13029,0.5334943903038244,0.7651242206836054,-250.0,0.0,-1.0,-374.00000000000546,0.14536009439509723,5.7914823722594395,-2.4551385977846145
0.519,0.519,20323,10927,0.5376666830684447,0.6367054105705066,-250.0,0.0,-1.0,-333.85000000000383,0.23213749350726037,6.291513781759155,-2.584485320115152
0.514,0.514,23230,12430,0.5350839431769264,0.7277796923462514,-250.0,0.0,-1.0,-406.3000000000248,0.16983041669170498,10.31119495512298,-3.58629025961533
0.515,0.515,22659,12133,0.5354605234123306,0.7098906607349854,-250.0,0.0,-1.0,-436.6000000000244,0.18120989225943768,10.39076187976473,-3.6067509645541547
